685
0,15,7
1,30,724
2,44,291
3,59,196
4,73,562
5,88,447
6,103,132
7,117,92
8,132,428
9,146,579
10,161,631
11,176,62
12,190,649
13,205,298
14,219,311
15,234,401
16,249,445
17,263,407
18,278,790
19,292,414
20,307,411
21,322,663
22,336,421
23,351,219
24,365,119
25,380,405
26,395,602
27,409,388
28,424,130
29,438,636
30,453,237
31,468,105
32,482,666
33,497,572
34,511,779
35,526,671
36,541,296
37,555,52
38,570,584
39,584,12
40,599,472
41,614,337
42,628,529
43,643,254
44,657,333
45,672,455
46,687,210
47,701,300
48,716,86
49,730,22
50,745,282
51,760,16
52,774,542
53,789,750
54,803,120
55,818,337
56,833,509
57,847,490
58,862,504
59,876,530
60,891,64
61,906,376
62,920,454
63,935,211
64,949,97
65,964,715
66,979,557
67,993,86
68,1008,700
69,1022,659
70,1037,771
71,1052,5
72,1066,392
73,1081,414
74,1095,171
75,1110,711
76,1125,186
77,1139,763
78,1154,402
79,1168,169
80,1183,199
81,1198,683
82,1212,699
83,1227,594
84,1241,344
85,1256,89
86,1271,542
87,1285,239
88,1300,613
89,1314,576
90,1329,307
91,1344,288
92,1358,523
93,1373,773
94,1387,343
95,1402,617
96,1417,733
97,1431,571
98,1446,684
99,1460,688
100,1475,557
101,1490,104
102,1504,272
103,1519,307
104,1533,760
105,1548,56
106,1563,624
107,1577,584
108,1592,33
109,1606,518
110,1621,607
111,1636,471
112,1650,599
113,1665,189
114,1679,48
115,1694,163
116,1709,111
117,1723,200
118,1738,732
119,1752,727
120,1767,688
121,1782,456
122,1796,633
123,1811,262
124,1825,687
125,1840,340
126,1855,291
127,1869,56
128,1884,762
129,1898,682
130,1913,614
131,1928,158
132,1942,337
133,1957,483
134,1971,279
135,1986,25
136,2001,468
137,2015,427
138,2030,728
139,2044,90
140,2059,235
141,2073,7
142,2088,724
143,2103,202
144,2117,353
145,2132,712
146,2146,55
147,2161,500
148,2176,685
149,2190,776
150,2205,636
151,2219,669
152,2234,333
153,2249,412
154,2263,730
155,2278,579
156,2292,657
157,2307,615
158,2322,476
159,2336,309
160,2351,162
161,2365,661
162,2380,697
163,2395,524
164,2409,571
165,2424,229
166,2438,426
167,2453,568
168,2468,218
169,2482,403
170,2497,253
171,2511,78
172,2526,712
173,2541,22
174,2555,706
175,2570,576
176,2584,316
177,2599,43
178,2614,368
179,2628,557
180,2643,724
181,2657,256
182,2672,33
183,2687,128
184,2701,78
185,2716,715
186,2730,527
187,2745,147
188,2760,172
189,2774,579
190,2789,448
191,2803,796
192,2818,552
193,2833,539
194,2847,80
195,2862,466
196,2876,412
197,2891,780
198,2906,617
199,2920,485
200,2935,615
201,2949,574
202,2964,49
203,2979,183
204,2993,153
205,3008,791
206,3022,641
207,3037,113
208,3052,276
209,3066,640
210,3081,162
211,3095,473
212,3110,568
213,3125,598
214,3139,60
215,3154,497
216,3168,777
217,3183,522
218,3198,485
219,3212,119
220,3227,727
221,3241,84
222,3256,501
223,3271,556
224,3285,423
225,3300,714
226,3314,417
227,3329,632
228,3344,402
229,3358,657
230,3373,656
231,3387,101
232,3402,459
233,3417,239
234,3431,3
235,3446,390
236,3460,236
237,3475,295
238,3490,229
239,3504,321
240,3519,293
241,3533,479
242,3548,742
243,3563,181
244,3577,706
245,3592,252
246,3606,144
247,3621,39
248,3636,796
249,3650,174
250,3665,55
251,3679,353
252,3694,687
253,3709,271
254,3723,61
255,3738,438
256,3752,189
257,3767,500
258,3782,168
259,3796,345
260,3811,643
261,3825,133
262,3840,76
263,3855,748
264,3869,35
265,3884,203
266,3898,392
267,3913,393
268,3928,444
269,3942,791
270,3957,62
271,3971,384
272,3986,641
273,4000,97
274,4015,351
275,4030,619
276,4044,441
277,4059,132
278,4073,730
279,4088,16
280,4103,610
281,4117,492
282,4132,328
283,4146,71
284,4161,206
