100
-1,90,11,4
0,75,16,4
1,105,10,8
2,120,8,16
3,90,5,8
4,90,8,14
5,120,18,0
6,60,10,4
7,90,10,2
8,45,19,7
9,90,19,16
10,105,17,16
11,105,7,17
12,90,14,7
13,105,8,1
14,105,1,8
15,60,0,14
16,45,10,17
17,120,3,18
18,90,5,17
19,30,9,17
20,105,4,10
21,120,2,13
22,60,2,6
23,75,7,12
24,60,8,11
25,45,0,5
26,105,18,12
27,45,5,6
28,45,14,16
29,60,6,1
30,45,5,10
31,60,16,7
32,105,1,6
33,75,3,18
34,90,7,3
35,60,18,12
36,105,6,15
37,45,17,4
38,45,9,9
39,105,13,11
40,75,6,15
41,90,3,11
42,90,3,7
43,90,17,18
44,60,17,1
45,90,2,1
46,75,4,3
47,120,18,11
48,120,15,5
49,90,10,3
50,45,6,9
51,105,13,1
52,105,1,12
53,75,7,8
54,105,8,13
55,105,14,19
56,120,10,18
57,60,15,15
58,45,6,6
59,120,8,5
60,90,3,14
61,120,14,6
62,90,18,15
63,60,12,15
64,90,15,11
65,45,19,5
66,60,9,4
67,105,13,2
68,120,7,4
69,45,16,2
70,45,1,7
71,60,9,17
72,105,8,9
73,105,10,16
74,90,4,13
75,105,11,2
76,75,19,18
77,90,5,1
78,60,12,11
79,60,16,16
80,90,3,12
81,60,6,0
82,90,14,10
83,45,0,4
84,60,5,6
85,45,6,16
86,60,19,19
87,60,1,3
88,120,4,15
89,60,17,13
90,105,7,14
91,120,10,4
92,45,3,4
93,75,7,15
94,60,6,4
95,120,13,5
96,120,16,6
97,75,1,8
98,105,17,5
99,45,11,7
