100
100,186
200,476
300,761
400,754
500,302
600,226
700,162
800,135
900,145
1000,23
1100,516
1200,468
1300,332
1400,129
1500,83
1600,552
1700,404
1800,372
1900,334
2000,317
2100,283
2200,169
2300,310
2400,253
2500,597
2600,40
2700,722
2800,510
2900,64
3000,66
3100,318
3200,366
3300,767
3400,53
3500,146
3600,657
3700,319
3800,58
3900,375
4000,205
4100,27
4200,732
4300,78
4400,241
4500,545
4600,236
4700,67
4800,298
4900,85
5000,768
5100,88
5200,261
5300,493
5400,74
5500,778
5600,211
5700,299
5800,649
5900,674
6000,335
6100,778
6200,724
6300,732
6400,380
6500,676
6600,712
6700,505
6800,220
6900,440
7000,36
7100,177
7200,574
7300,681
7400,277
7500,594
7600,421
7700,602
7800,81
7900,107
8000,596
8100,281
8200,540
8300,65
8400,33
8500,359
8600,719
8700,501
8800,244
8900,267
9000,477
9100,422
9200,529
9300,52
9400,211
9500,294
9600,542
9700,704
9800,32
9900,206
10000,393
